id,app_name,title,body,source_dataset,previous_label,proposed_event_type,proposed_actionability,proposed_base_label,proposed_preference_sensitive,why_selected,user_actionability,user_preference_sensitive,review_note
V03_REALISTIC_003,쿠팡,주문 취소 안내,재고 부족으로 주문 상품이 취소되었습니다. 환불 상태를 확인해주세요.,train_v0.4,1,ORDER_STATUS,ATTENTION_WORTHY,1,true,order_cancelled,ATTENTION_WORTHY,true,
V03_REALISTIC_035,지그재그,주문 취소 안내,재고 부족으로 스토어 주문이 취소되었습니다. 환불 상태를 확인해주세요.,train_v0.4,1,ORDER_STATUS,ATTENTION_WORTHY,1,true,order_cancelled,ATTENTION_WORTHY,true,
V03_REALISTIC_067,G마켓,주문 취소 안내,재고 부족으로 배송 상품이 취소되었습니다. 환불 상태를 확인해주세요.,train_v0.4,1,ORDER_STATUS,ATTENTION_WORTHY,1,true,order_cancelled,ATTENTION_WORTHY,true,
V02_TRAIN_007,토스,토스,주간 소비 리포트: 이번 주 요약이 도착했습니다.,train_v0.4,0,SUMMARY,INFORMATIONAL,0,true,summary,INFORMATIONAL,true,
V02_TRAIN_199,에브리타임,에브리타임,주간 게시판 요약: 이번 주 요약이 도착했습니다.,train_v0.4,0,SUMMARY,INFORMATIONAL,0,true,summary,INFORMATIONAL,true,
V03_REALISTIC_007,쿠팡,가격이 내려갔어요,관심 상품의 가격 변동 소식을 확인해보세요.,train_v0.4,0,PRICE_DROP,PROMOTIONAL,0,true,price_drop,PROMOTIONAL,true,
V03_REALISTIC_005,쿠팡,장바구니에 상품이 남아 있어요,지금 주문하면 받을 수 있는 예상 날짜를 확인해보세요.,train_v0.4,0,CART_REMINDER,PROMOTIONAL,0,true,cart_reminder,PROMOTIONAL,true,actionability 미입력; 정책 제안값 유지
V02_TRAIN_009,토스,토스,자산 현황 보기 관련 새 내용이 오늘 오후 3시에 공개됩니다.,train_v0.4,0,OPTIONAL_CONTENT,PROMOTIONAL,0,true,optional_schedule,PROMOTIONAL,true,
V02_TRAIN_169,카카오 T,카카오 T,출근길 알림 관련 새 내용이 오늘 오후 3시에 공개됩니다.,train_v0.4,0,OPTIONAL_CONTENT,PROMOTIONAL,0,true,optional_schedule,PROMOTIONAL,true,
V02_CONTEXT_001,토스,토스,가족 송금 관련 새 메시지가 도착했습니다.,context_v0.4,,MESSAGE,INFORMATIONAL,0,true,relationship_message,INFORMATIONAL,true,
V02_CONTEXT_025,당근,당근,이웃과의 채팅 관련 새 메시지가 도착했습니다.,context_v0.4,,MESSAGE,INFORMATIONAL,0,true,relationship_message,INFORMATIONAL,true,
V02_CONTEXT_049,에브리타임,에브리타임,친구의 쪽지 관련 새 메시지가 도착했습니다.,context_v0.4,,MESSAGE,INFORMATIONAL,0,true,relationship_message,INFORMATIONAL,true,
V02_CONTEXT_002,토스,일정 알림,저축 목표 시작까지 한 시간 남았습니다.,context_v0.4,,PERSONAL_SCHEDULE,INFORMATIONAL,0,true,personal_schedule,INFORMATIONAL,true,
V02_CONTEXT_026,당근,일정 알림,중고 거래 일정 시작까지 한 시간 남았습니다.,context_v0.4,,PERSONAL_SCHEDULE,INFORMATIONAL,0,true,personal_schedule,INFORMATIONAL,true,
V02_CONTEXT_050,에브리타임,일정 알림,동아리 모임 시작까지 한 시간 남았습니다.,context_v0.4,,PERSONAL_SCHEDULE,INFORMATIONAL,0,true,personal_schedule,INFORMATIONAL,true,
V03_REALISTIC_128,배달의민족,배달의민족,찜한 가게에 새로운 메뉴가 등록됐어요.,train_v0.4,0,INTEREST_UPDATE,INFORMATIONAL,0,true,interest_update,INFORMATIONAL,true,
V02_CONTEXT_023,오늘의집,새 소식,집들이 새 글 새 소식이 등록되었습니다.,context_v0.4,,INTEREST_UPDATE,INFORMATIONAL,0,true,interest_update,INFORMATIONAL,true,
V02_CONTEXT_051,에브리타임,새 소식,학교 게시판 소식 새 소식이 등록되었습니다.,context_v0.4,,INTEREST_UPDATE,INFORMATIONAL,0,true,interest_update,INFORMATIONAL,true,
V02_CONTEXT_004,토스,리마인더,설정한 소비 기록 리마인더 시간입니다.,context_v0.4,,PERSONAL_REMINDER,INFORMATIONAL,0,true,personal_habit,INFORMATIONAL,true,
V02_CONTEXT_044,카카오 T,리마인더,설정한 이동 기록 리마인더 시간입니다.,context_v0.4,,PERSONAL_REMINDER,INFORMATIONAL,0,true,personal_habit,INFORMATIONAL,true,
